name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
vwap_reject_30,vwap,365b49b0a5e7,30,short,397,0.024489555003167074,1.1501504080961327,0.473551637279597,264,0.04641045947518776,133,-0.019022616279640893,0.8974327683448559,0.45864661654135336,0.0011542544712625324,False
gap_cont_up_g0.5_90,gap,df396419b2c5,90,long,163,0.05442386942684313,1.4669146408763365,0.6319018404907976,112,0.08957031776896003,51,-0.02276048771662925,0.860322918880435,0.5686274509803921,0.0014345051594742164,False
gap_cont_up_g0.3_30,gap,2a38bf5c1d46,30,long,337,0.0024711381466525567,1.0141478676715223,0.543026706231454,234,0.014364072319685195,103,-0.02454776084839248,0.873455608331617,0.5048543689320388,0.0009937782414478568,False
volorb_dn_0.6_0.95,volatility,2f739c8b7aeb,30,short,41,0.01953734309688544,1.0995530378204952,0.4634146341463415,26,0.045064775835540145,15,-0.024710206983449383,0.8671356583732859,0.4,0.0025996522846398603,False
pdl_accept_30,levels,d086616e714f,30,short,214,-0.002554891425851689,0.9871850023388704,0.48130841121495327,141,0.009670536601902159,73,-0.026168389397266668,0.8741151726177806,0.4931506849315068,0.0011847952179378993,False
vwap_reject_90,vwap,805f4ab423be,90,short,231,-0.002834449228593554,0.9819826471939039,0.42857142857142855,150,0.01366963300386165,81,-0.03339756447388097,0.8105779899120318,0.41975308641975306,0.0005133354650126712,False
vwap_reject_60,vwap,de0ed6a25ece,60,short,214,-0.05161453158251798,0.715938969724211,0.40654205607476634,140,-0.06040929500135873,74,-0.03497578997930579,0.812563125499388,0.40540540540540543,0.0005722892898276643,False
gap_fade_up_g0.3_30,gap,6220768df177,30,short,281,-0.008303810275513301,0.9549513114222441,0.45195729537366547,190,0.004571867898642921,91,-0.0351870943753999,0.8093611104194215,0.4835164835164835,0.0004024247342048914,False
pdl_reject_60,levels,1b8dfad42b08,60,long,193,-0.042598750422617626,0.7556393335667009,0.5077720207253886,141,-0.04406409854667549,52,-0.03862540262469147,0.7538930256303293,0.5192307692307693,0.00047336396971109287,False
pullback_dn_90,pullback,21ce7fe23895,90,short,648,-0.007613493405709934,0.9566696289976966,0.4382716049382716,432,0.009978878924928446,216,-0.04279823806698669,0.7726408299878955,0.41203703703703703,2.6872891889959486e-05,False
pdl_accept_90,levels,e22afbae2877,90,short,256,-0.01775822561246499,0.9089495044646595,0.453125,180,-0.0063922177895772096,76,-0.04467771782456763,0.7719595639768293,0.47368421052631576,0.00024274197871236935,False
ib_wide_dn_q1.2,ib,4522ecb41f88,90,short,30,-0.0027513187147999345,0.9901974354166562,0.5333333333333333,22,0.01334777733423847,8,-0.04702383284965553,0.7802594253744456,0.5,,False
ib_wide_up_q1.2,ib,f79a17c6f45b,90,long,25,-0.13614019697515478,0.5959356477533256,0.48,20,-0.14767802109982725,5,-0.0899889004764649,0.5883559248508209,0.4,,False
gap_cont_up_g0.5_30,gap,9506d5994aaf,30,long,182,-0.022633241640591887,0.8829927246913145,0.5439560439560439,124,0.024473240058313837,58,-0.12334365078997651,0.48703880829444834,0.46551724137931033,4.217723962247395e-06,False
onpos_high_0.8_90_sm1.0,overnight,5ab3fe45f185,90,long,527,-0.20561621128422947,0.16277564170666772,0.3111954459203036,374,-0.20547365645876567,153,-0.20596467863536327,0.184848508663358,0.33986928104575165,1.0900555418128843e-19,False
