symbol,obs,feature,side,thr,n_train,er_train,wr_train,sr_train,n_test,er_test,wr_test,survivor
NQ,90,d_on_mid,>,-0.23562371023532094,1210,0.09578234229422147,0.6066115702479339,0.24860970142498717,598,0.08726009160672173,0.6036789297658863,True
NQ,90,d_on_mid,<,-0.23562371023532094,404,-0.23079547123752434,0.38613861386138615,-0.40304837248177133,174,-0.19928864057981133,0.42528735632183906,False
NQ,90,d_on_mid,>,0.1729349994877109,404,0.24061439862592593,0.7054455445544554,0.5544317909083767,206,0.20309282028962297,0.6699029126213593,True
NQ,90,d_on_mid,<,0.1729349994877109,1210,-0.06161401094944293,0.5,-0.13819205648105384,566,-0.042989063003056376,0.5247349823321554,False
NQ,90,d_on_mid,>,0.42415635935220414,162,0.3234203843597258,0.7345679012345679,0.6105227765379359,70,0.3127974920920017,0.7285714285714285,False
NQ,90,d_on_mid,<,0.42415635935220414,1452,-0.020481293712277842,0.53099173553719,-0.046501073842187296,702,-0.0062542922030024185,0.5470085470085471,False
NQ,90,d_vwap,>,-0.24539991203320388,1452,0.013525419184851997,0.5516528925619835,0.029511898388864914,699,0.0203827245043061,0.5593705293276109,False
NQ,90,d_vwap,<,-0.24539991203320388,162,0.018619476170636,0.5493827160493827,0.03776924168811401,73,0.044627217690718514,0.6027397260273972,False
NQ,90,d_vwap,>,-0.13534997891500378,1210,0.006689857188283603,0.5454545454545454,0.014431866842051251,603,0.02701624972170247,0.5588723051409619,False
NQ,90,d_vwap,<,-0.13534997891500378,404,0.0360409321738242,0.5693069306930693,0.07900957057173363,169,0.007186465903821478,0.5798816568047337,False
NQ,90,d_vwap,>,0.1075053043882383,404,-0.008118270793044322,0.5024752475247525,-0.01528835854814987,214,0.012750673184552508,0.5327102803738317,False
NQ,90,d_vwap,<,0.1075053043882383,1210,0.021433921649948798,0.5677685950413223,0.04914134268145585,558,0.02648148254200391,0.5752688172043011,False
NQ,90,d_vwap,>,0.24739363721301466,162,-0.03880611788654654,0.48148148148148145,-0.06702447751421108,99,0.009626577524319101,0.5050505050505051,False
NQ,90,d_vwap,<,0.24739363721301466,1452,0.019932406951562454,0.559228650137741,0.0446295080552783,673,0.02459476990345443,0.5720653789004457,False
NQ,90,on_position,>,0.01549776513612822,1452,-0.024997271508596913,0.5110192837465565,-0.05464126189281665,689,-0.017503807007233568,0.5195936139332366,False
NQ,90,on_position,<,0.01549776513612822,162,0.36389692608969665,0.9135802469135802,1.082761805594647,83,0.3562100523845343,0.927710843373494,False
NQ,90,on_position,>,0.28409048680787813,1210,-0.05998532497384032,0.4884297520661157,-0.1301504245523569,568,-0.047515326693489186,0.5,False
NQ,90,on_position,<,0.28409048680787813,404,0.23573640350097758,0.7400990099009901,0.6079224820531832,204,0.2181079258913445,0.7401960784313726,True
NQ,90,on_position,>,0.7633942641033804,404,-0.23363755398128427,0.2995049504950495,-0.5150139875143834,181,-0.22635931571897386,0.35911602209944754,False
NQ,90,on_position,<,0.7633942641033804,1210,0.09673126909461735,0.6355371900826446,0.22279207282882124,591,0.09894475036390302,0.626057529610829,True
NQ,90,on_position,>,0.9774655355249205,162,-0.3417448913342815,0.10493827160493827,-0.9020760324527465,77,-0.2996995731400119,0.16883116883116883,False
